Caso 0,,Caso 1,,Caso 2,,,Caso 3,,,Caso 4,
io,,cpu,,cpu,io,,io1,io2,,cpu1,cpu2
4602,,632,,175,3045,,4174,4173,,311,323
4592,,632,,175,3052,,4240,4276,,312,324
4587,,634,,174,3054,,4312,4320,,312,325
4593,,631,,174,3050,,4326,4369,,312,325
4601,,630,,174,3041,,4342,4369,,313,325
4582,,635,,172,3053,,4347,4379,,313,326
4589,,635,,173,3052,,4425,4396,,313,326
4587,,634,,172,3053,,4462,4415,,313,327
4579,,635,,172,3050,,4483,4475,,314,327
4580,,632,,172,3052,,4534,4579,,314,327
4581,,633,,172,3050,,4599,4627,,314,327
4590,,631,,172,3056,,4634,4647,,314,328
4594,,634,,172,3052,,4683,4706,,314,328
4585,,633,,172,3047,,4760,4760,,315,328
4587,,634,,172,3047,,4777,4771,,315,328
4478,,634,,169,3050,,4812,4820,,316,328
4362,,635,,171,2972,,4836,4829,,316,328
4337,,633,,168,3001,,4863,4865,,317,329
4335,,634,,167,2923,,4909,4909,,317,329
4305,,634,,167,2864,,4931,4912,,317,329
4293,,635,,169,2891,,4933,4934,,317,329
4273,,633,,167,2938,,4951,4951,,317,329
4291,,635,,165,2842,,5023,5003,,317,329
4279,,634,,165,2839,,5036,5039,,317,329
4275,,630,,164,2848,,5045,5067,,317,329
4299,,633,,164,2845,,5064,5086,,318,330
4285,,632,,166,2846,,5090,5093,,318,330
4288,,634,,164,2869,,5100,5102,,319,"327,481481481481"
4294,,631,,165,2858,,5138,5105,,"315,071428571429",
4287,,632,,164,2860,,5153,5151,,,
4278,,p,,p,"2973,33333333333",,5160,5190,,,
4300,,"633,133333333333",,"169,6",,,5222,5213,,,
4260,,,,,,,"4761,375",p,,,
p,,,,,,,,"4766,59375",,,
"4434,78787878788",,,,,,,,,,,
