Caso 0,,Caso 1,,Cao 2,,,Caso 3,,,Caso 4,
io,,cpu,,cpu,io,,Io 1,Io 2,,cpu1,cpu2
5518,,7288,,6908,328,,6107,6177,,3623,3650
5529,,7281,,6935,333,,6374,6323,,3636,3650
5512,,7288,,6671,332,,6393,6329,,3636,3650
5487,,7281,,6942,333,,6438,6330,,3636,3650
5523,,7274,,6935,333,,6489,6400,,3636,3656
5507,,7295,,6942,333,,6539,6520,,3643,3656
5493,,7288,,6949,333,,6656,6565,,3643,3656
5493,,7288,,6928,333,,6656,6627,,3643,3656
5504,,7288,,6942,333,,6706,6673,,3643,3656
5493,,7288,,6956,333,,6723,6706,,3643,3656
5487,,7247,,6949,333,,6730,6723,,3643,3656
5487,,7288,,6949,333,,6850,6736,,3643,3656
5482,,7288,,6942,333,,6866,6763,,3643,3656
5438,,7288,,6942,333,,6891,6809,,3643,3656
5322,,7288,,6949,333,,6920,6912,,3643,3656
5259,,7288,,6915,333,,6969,6976,,3643,3656
5264,,7281,,6928,333,,6976,6991,,3643,3656
5227,,7267,,6956,333,,7011,7004,,3643,3663
5232,,7288,,6956,333,,7018,7018,,3650,3663
5168,,7288,,6935,333,,7018,7061,,3650,3663
5173,,7288,,6928,333,,7032,7096,,3650,3663
5158,,7288,,6935,333,,7082,7104,,3650,3663
5163,,7281,,6949,332,,7217,7125,,3650,3663
5137,,7281,,6956,333,,7296,7265,,3650,3663
5196,,7281,,6894,333,,7443,7281,,3650,3663
5190,,7288,,6942,333,,7465,7416,,3650,3663
5099,,7295,,6935,"332,730769230769",,7488,7465,,3650,3663
5190,,7281,,6942,,,7563,7514,,3650,3663
p,,7281,,6942,,,7577,7832,,3650,3663
"5347,53571428572",,7288,,"6929,37931034483",,,7682,8205,,p,"3658,06896551724"
,,p,,,,,"6939,16666666667",p,,3644,
,,"7284,06666666667",,,,,,"6931,53333333333",,,
